,d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_est,sigma_b1_est,n_epoch,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
1,1,0.01,0.01,0,lmmvae,0.563075174,0.057831388,0.089757569,200,86.35641217,3.086416483,1.447770119,4.624254704,159.2403412,2.885054588,1.254300594,4.591203213,158.4841766
2,1,0.01,0.01,0,pca-ignore,0.846784488,,,,0.068888426,21.05239164,,,,20.98527205,,,
3,1,0.01,0.01,0,vae-ignore,0.630454928,,,200,32.62591434,8.795761108,8.720409393,7.535067558,,9.523975372,9.454811096,6.916504383,
4,1,0.01,0.01,0,vae-embed,0.814093762,,,200,99.07384109,8.696109772,8.619070053,7.703577518,,12.28544044,12.21408844,7.135382175,
5,1,0.01,0.01,1,lmmvae,0.573555486,0.059643369,0.091593109,200,86.98854446,3.105701208,1.434006333,4.503604412,162.6657867,2.891503811,1.212682724,4.505525589,163.3765717
6,1,0.01,0.01,1,pca-ignore,0.85884161,,,,0.099265575,21.05271985,,,,21.1071967,,,
7,1,0.01,0.01,1,vae-ignore,0.640668924,,,200,32.78788018,8.672783852,8.596684456,7.609750271,,9.672163963,9.596042633,7.61196804,
8,1,0.01,0.01,1,vae-embed,0.795279975,,,200,82.78939629,8.596195221,8.518134117,7.806651592,,11.98766708,11.9152174,7.244998455,
9,1,0.01,0.01,2,lmmvae,0.578213903,0.059474938,0.092970319,200,87.14797425,3.167358637,1.477799535,4.295693398,164.6601105,2.976841211,1.293103695,4.31261301,164.0611572
10,1,0.01,0.01,2,pca-ignore,0.855850136,,,,0.117074251,21.0527569,,,,21.08434217,,,
11,1,0.01,0.01,2,vae-ignore,0.621321911,,,200,33.10648394,8.768600464,8.69018364,7.841586113,,9.398197174,9.32022953,7.796790123,
12,1,0.01,0.01,2,vae-embed,0.829270813,,,200,82.6839447,8.793570518,8.717940331,7.563969135,,12.49713993,12.4263382,7.080307961,
13,1,0.01,0.01,3,lmmvae,0.579847462,0.058944281,0.091553435,200,86.71259642,3.116289854,1.44645834,4.427554131,162.5553436,2.904609203,1.228132129,4.407173634,163.2406006
14,1,0.01,0.01,3,pca-ignore,0.859013828,,,,0.10264039,21.05170357,,,,21.0673233,,,
15,1,0.01,0.01,3,vae-ignore,0.639318238,,,200,33.03061938,8.647916794,8.569711685,7.819966316,,9.650047302,9.573756218,7.629519939,
16,1,0.01,0.01,3,vae-embed,0.806168374,,,200,80.80390549,8.700216293,8.622681618,7.753975868,,12.14272118,12.07174873,7.097343445,
17,1,0.01,0.01,4,lmmvae,0.577993159,0.059229858,0.090610228,200,86.74567938,3.108082771,1.446977377,4.517921448,161.5925598,2.915896893,1.256806016,4.487930775,161.4211426
18,1,0.01,0.01,4,pca-ignore,0.849505558,,,,0.122748852,21.05393381,,,,21.03197272,,,
19,1,0.01,0.01,4,vae-ignore,0.623578168,,,200,33.12510967,8.696131706,8.623748779,7.238309383,,9.419093132,9.347090721,7.200436115,
20,1,0.01,0.01,4,vae-embed,0.801002784,,,200,82.46815515,8.529851913,8.451221466,7.864151001,,12.08532429,12.01394367,7.13788271,
29,2,0.01,0.01,0,lmmvae,0.46999959,0.044566255,0.072032608,200,87.15342426,2.587853193,1.26458919,7.943313122,124.3827896,2.485296249,1.166503549,7.896683216,123.9826889
30,2,0.01,0.01,0,pca-ignore,0.738476206,,,,0.072400808,20.93267005,,,,20.86869389,,,
31,2,0.01,0.01,0,vae-ignore,0.470059016,,,200,33.55672431,5.812465668,5.70182991,11.06350994,,7.162225723,7.052676678,10.95519257,
32,2,0.01,0.01,0,vae-embed,0.686016895,,,200,80.87788415,5.969432354,5.845121384,12.43105412,,10.40693474,10.29097652,11.59542465,
33,2,0.01,0.01,1,lmmvae,0.477907526,0.045557488,0.072757676,200,94.61188889,2.591885567,1.250582337,7.911731243,126.2185974,2.482514381,1.138339162,7.925637245,126.4917908
34,2,0.01,0.01,1,pca-ignore,0.745927585,,,,0.08765769,20.93350761,,,,20.97782238,,,
35,2,0.01,0.01,1,vae-ignore,0.484194652,,,200,33.72147179,6.006793976,5.900969028,10.58214188,,7.365413189,7.260134697,10.52775669,
36,2,0.01,0.01,1,vae-embed,0.691465662,,,200,82.51680231,5.944419384,5.820481777,12.39366531,,10.47560787,10.35907745,11.65324593,
37,2,0.01,0.01,2,lmmvae,0.491699394,0.045717169,0.073806897,200,86.94281197,2.67613101,1.324737072,7.791372299,127.3478699,2.535170794,1.183599114,7.784941673,127.3722153
38,2,0.01,0.01,2,pca-ignore,0.745028122,,,,0.101342916,20.93408273,,,,20.96212315,,,
39,2,0.01,0.01,2,vae-ignore,0.50564647,,,200,33.65423179,6.125958443,6.018964291,10.69937038,,7.710025311,7.604025364,10.60020161,
40,2,0.01,0.01,2,vae-embed,0.680781615,,,200,83.68677497,5.957227707,5.831179142,12.60486412,,10.33308697,10.2145586,11.85276031,
41,2,0.01,0.01,3,lmmvae,0.472813498,0.04409872,0.069976911,200,87.89777422,2.538331985,1.239793539,8.16765976,121.6861343,2.427514315,1.117399693,8.141774178,122.8696899
42,2,0.01,0.01,3,pca-ignore,0.750541223,,,,0.090502501,20.92771802,,,,20.956824,,,
43,2,0.01,0.01,3,vae-ignore,0.503840641,,,200,33.7995882,6.130505562,6.021258354,10.9244318,,7.647420406,7.539737225,10.76782703,
44,2,0.01,0.01,3,vae-embed,0.705714641,,,200,83.61782908,5.979890347,5.851560593,12.83336449,,10.67695713,10.55717278,11.97801876,
45,2,0.01,0.01,4,lmmvae,0.496219332,0.045178853,0.072909512,200,87.40645194,2.655008793,1.309193611,7.818618774,126.7629242,2.501485586,1.152587414,7.785375595,127.1045227
46,2,0.01,0.01,4,pca-ignore,0.740299734,,,,0.065116644,20.93459224,,,,20.9130964,,,
47,2,0.01,0.01,4,vae-ignore,0.50366893,,,200,33.81851649,6.122970581,6.015947342,10.70282841,,7.657680511,7.552806377,10.4868288,
48,2,0.01,0.01,4,vae-embed,0.699112377,,,200,82.94804645,5.955970764,5.827371597,12.86008453,,10.59346962,10.47437668,11.90895176,
49,5,0.01,0.01,0,lmmvae,0.201069397,0.018659594,0.029912779,200,88.06312013,1.368432045,0.658870161,16.83045769,54.12570953,1.363505721,0.656610131,16.7904377,53.89907837
50,5,0.01,0.01,0,pca-ignore,0.48777716,,,,0.106617451,20.72683717,,,,20.67345682,,,
51,5,0.01,0.01,0,vae-ignore,0.184609806,,,200,33.89134479,2.033018827,1.831463218,20.15556335,,2.96634841,2.766500473,19.98486519,
52,5,0.01,0.01,0,vae-embed,0.378906384,,,200,82.85543156,2.133435726,1.911035895,22.23993492,,5.891029835,5.682353973,20.86769485,
53,5,0.01,0.01,1,lmmvae,0.192083808,0.018134778,0.028484905,200,88.12946129,1.286024809,0.598148525,17.03192139,51.75569153,1.318718672,0.621419132,17.05220604,52.67774963
54,5,0.01,0.01,1,pca-ignore,0.492005191,,,,0.13133955,20.730092,,,,20.7771245,,,
55,5,0.01,0.01,1,vae-ignore,0.213892262,,,200,34.34166074,2.193804026,1.992480755,20.13243294,,3.40331316,3.202999115,20.0313797,
56,5,0.01,0.01,1,vae-embed,0.411210103,,,200,84.2062726,2.191279888,1.969120741,22.21582413,,6.37487793,6.164944649,20.99327278,
57,5,0.01,0.01,2,lmmvae,0.203515572,0.019326329,0.030148102,200,88.16388416,1.370762348,0.656395137,16.82441902,54.61222458,1.431130171,0.719989419,16.81620979,54.29782486
58,5,0.01,0.01,2,pca-ignore,0.487915067,,,,0.11353302,20.73176225,,,,20.74634196,,,
59,5,0.01,0.01,2,vae-ignore,0.195052667,,,200,34.32121253,2.109197855,1.906013608,20.31830215,,3.127756119,2.92517066,20.25857735,
60,5,0.01,0.01,2,vae-embed,0.381854367,,,200,83.00569582,2.114142179,1.893730998,22.04131126,,5.936621666,5.727417469,20.92055702,
61,5,0.01,0.01,3,lmmvae,0.201703775,0.018576328,0.029362271,200,88.08685184,1.353442669,0.649126291,16.78126907,53.65033722,1.363618016,0.655629635,16.75845528,54.04037476
62,5,0.01,0.01,3,pca-ignore,0.492687337,,,,0.117338657,20.72267839,,,,20.74966295,,,
63,5,0.01,0.01,3,vae-ignore,0.201575706,,,200,34.50831175,2.086832523,1.884227753,20.26053047,,3.218864202,3.01759553,20.12692451,
64,5,0.01,0.01,3,vae-embed,0.422951673,,,200,83.09586596,2.276814938,2.052593946,22.42189789,,6.543904781,6.334717274,20.91853714,
65,5,0.01,0.01,4,lmmvae,0.201624172,0.018057998,0.028298384,200,87.95982981,1.344540954,0.659705818,16.99564552,51.48781204,1.374732733,0.683278084,16.95344353,52.19205856
66,5,0.01,0.01,4,pca-ignore,0.489097367,,,,0.086404085,20.72848714,,,,20.71828894,,,
67,5,0.01,0.01,4,vae-ignore,0.203300577,,,200,34.57666063,2.103058577,1.902251482,20.08057404,,3.247870207,3.048226357,19.96427917,
68,5,0.01,0.01,4,vae-embed,0.373023575,,,200,83.1277647,2.123267889,1.90318501,22.00825119,,5.80424118,5.595378876,20.88626671,
