d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_spatial_est,n_epoch,time
1,0.001,0.001,0,lmmvae,0.048552198,1.56E-05,200,237.4640071
1,0.001,0.001,1,lmmvae,0.047268619,3.88E-06,200,237.1767085
1,0.001,0.001,2,lmmvae,0.046411102,1.75E-06,200,236.564734
1,0.001,0.001,3,lmmvae,0.047709365,4.79E-07,200,236.9973717
1,0.001,0.001,4,lmmvae,0.04889809,6.42E-07,200,235.9397166
2,0.001,0.001,0,lmmvae,0.034848832,1.97E-06,200,237.0470521
2,0.001,0.001,1,lmmvae,0.034746191,1.16E-06,200,237.6423802
2,0.001,0.001,2,lmmvae,0.031658163,8.69E-07,200,238.829123
2,0.001,0.001,3,lmmvae,0.034669267,5.18E-06,200,238.6392109
2,0.001,0.001,4,lmmvae,0.034420771,1.15E-05,200,237.6601174
5,0.001,0.001,0,lmmvae,0.011249354,1.74E-06,200,237.1861529
5,0.001,0.001,1,lmmvae,0.014715041,6.74E-06,200,238.5340219
5,0.001,0.001,2,lmmvae,0.0151516,2.94E-06,200,239.106647
5,0.001,0.001,3,lmmvae,0.012760971,2.87E-06,200,239.6214156
5,0.001,0.001,4,lmmvae,0.012852648,1.29E-06,200,237.8414855
1,0.001,0.001,0,lmmvae-sfc,0.048943912,0.000549141,200,259.2016752
1,0.001,0.001,1,lmmvae-sfc,0.04765126,0.000555097,200,259.470438
1,0.001,0.001,2,lmmvae-sfc,0.047248057,0.000532753,200,260.3000028
1,0.001,0.001,3,lmmvae-sfc,0.052037887,0.000576097,200,257.1701207
1,0.001,0.001,4,lmmvae-sfc,0.047671914,0.000566936,200,261.3682258
2,0.001,0.001,0,lmmvae-sfc,0.033709013,0.000545607,200,262.5075064
2,0.001,0.001,1,lmmvae-sfc,0.034599854,0.00053717,200,262.4225192
2,0.001,0.001,2,lmmvae-sfc,0.033930836,0.000638454,200,263.0733542
2,0.001,0.001,3,lmmvae-sfc,0.040741979,0.000744186,200,260.9472804
2,0.001,0.001,4,lmmvae-sfc,0.035184368,0.000555775,200,258.8598361
5,0.001,0.001,0,lmmvae-sfc,0.012017185,0.000527596,200,262.4518363
5,0.001,0.001,1,lmmvae-sfc,0.012439965,0.000537758,200,261.5884681
5,0.001,0.001,2,lmmvae-sfc,0.012498278,0.000547916,200,262.4151547
5,0.001,0.001,3,lmmvae-sfc,0.012062611,0.00054722,200,261.5827539
1,0.001,0.001,0,pca-ignore,0.087908497,,,0.437749386
1,0.001,0.001,1,pca-ignore,0.099228845,,,0.395192862
1,0.001,0.001,2,pca-ignore,0.080171017,,,0.397313833
1,0.001,0.001,3,pca-ignore,0.080475237,,,0.383219719
1,0.001,0.001,4,pca-ignore,0.086225472,,,0.392643213
2,0.001,0.001,0,pca-ignore,0.081605737,,,0.41459775
2,0.001,0.001,1,pca-ignore,0.092962392,,,0.406718493
2,0.001,0.001,2,pca-ignore,0.073881215,,,0.421115637
2,0.001,0.001,3,pca-ignore,0.074313274,,,0.399779081
2,0.001,0.001,4,pca-ignore,0.080031702,,,0.401043177
5,0.001,0.001,0,pca-ignore,0.069334738,,,0.427259445
5,0.001,0.001,1,pca-ignore,0.080575928,,,0.422286987
5,0.001,0.001,2,pca-ignore,0.061958583,,,0.438639641
5,0.001,0.001,3,pca-ignore,0.062871455,,,0.439045429
1,0.001,0.001,0,vae-em,0.084831387,,200,97.1728611
1,0.001,0.001,1,vae-em,0.082460395,,200,92.41419244
1,0.001,0.001,2,vae-em,0.082956125,,200,93.4137094
1,0.001,0.001,3,vae-em,0.083679102,,200,93.42246985
1,0.001,0.001,4,vae-em,0.083379568,,200,93.92578769
2,0.001,0.001,0,vae-em,0.075625779,,200,95.92129469
2,0.001,0.001,1,vae-em,0.066691971,,200,95.88185859
2,0.001,0.001,2,vae-em,0.065752289,,200,95.78886914
2,0.001,0.001,3,vae-em,0.067070774,,200,95.7888968
2,0.001,0.001,4,vae-em,0.066953828,,200,96.18831944
5,0.001,0.001,0,vae-em,0.027774505,,200,96.45527339
5,0.001,0.001,1,vae-em,0.028222003,,200,96.34147573
5,0.001,0.001,2,vae-em,0.030392123,,200,96.57413459
5,0.001,0.001,3,vae-em,0.028285822,,200,96.28409266
5,0.001,0.001,4,vae-em,0.027949202,,200,96.40780115
1,0.001,0.001,0,vae-ignore,0.081743729,,200,84.17808723
1,0.001,0.001,1,vae-ignore,0.080306252,,200,84.16964674
1,0.001,0.001,2,vae-ignore,0.083278746,,200,84.18829107
1,0.001,0.001,3,vae-ignore,0.083236087,,200,85.05805087
1,0.001,0.001,4,vae-ignore,0.080922648,,200,84.55335689
2,0.001,0.001,0,vae-ignore,0.067375488,,200,86.52068639
2,0.001,0.001,1,vae-ignore,0.066260013,,200,86.53925729
2,0.001,0.001,2,vae-ignore,0.064934306,,200,86.36894584
2,0.001,0.001,3,vae-ignore,0.065783812,,200,86.36412835
2,0.001,0.001,4,vae-ignore,0.064932344,,200,85.59774089
5,0.001,0.001,0,vae-ignore,0.026457559,,200,86.29188752
5,0.001,0.001,1,vae-ignore,0.026557257,,200,86.15538979
5,0.001,0.001,2,vae-ignore,0.025828672,,200,86.08085275
5,0.001,0.001,3,vae-ignore,0.026428543,,200,86.05662656
